TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,CpuTime,TotalLength,CostPerSec,StartExecTime,VmID
339,37,18,32,2.108171964,32,44,128.5550082,6
340,17,17,93,3.71,93,46,174.0515676,11
341,99,20,56,4.307692308,56,42,426.5177978,5
342,64,15,52,3.406240602,52,44,130.6631802,6
343,61,13,61,4.692307692,61,42,430.8254901,5
344,36,19,18,1.2,18,44,134.0694208,6
345,13,13,30,1.295732938,30,44,8.070758033,10
346,100,12,31,1.24,31,46,177.7615676,11
347,79,19,86,5.102256729,86,44,98.96727452,7
348,53,10,30,2.307692308,30,42,435.5177978,5
349,19,20,55,2.176296296,55,46,179.0015676,11
350,90,14,75,5.769230769,75,42,437.8254901,5
351,12,11,53,1.827586207,53,46,21.97394306,13
352,73,20,19,1.234173669,19,44,135.2694208,6
353,31,12,29,1.494279176,29,44,47.41972476,8
354,19,12,67,2.54,67,46,35.44027767,12
355,22,16,28,1.809207161,28,44,136.5035945,6
356,35,17,42,3.230769231,42,42,443.5947208,5
357,63,12,18,1.143859649,18,44,138.3128016,6
358,11,19,24,1.031884058,24,44,9.366490972,10
359,16,15,18,1.058823529,18,44,104.0695312,7
360,91,18,67,5.153846154,67,42,446.8254901,5
361,72,20,99,4.686165414,99,44,59.95811793,9
362,90,12,96,3.81037037,96,46,181.1778639,11
363,13,14,25,1.923076923,25,42,451.9793362,5
364,30,10,76,5.846153846,76,42,453.9024131,5
365,80,20,93,5.467558923,93,44,105.1283548,7
366,62,13,27,1.078518519,27,46,184.9882343,11
367,88,16,56,4.307692308,56,42,459.748567,5
368,54,15,10,0.4,10,46,186.0667528,11
369,98,19,80,3.174814815,80,46,186.4667528,11
370,14,20,64,3.335899852,64,44,48.91400394,8
371,80,14,21,2.233766234,21,42,11.06314685,3
372,93,16,69,5.307692308,69,42,464.0562593,5
373,19,17,58,2.32,58,46,189.6415676,11
374,32,17,48,2.256705639,48,44,64.64428334,9
375,75,19,54,4.153846154,54,42,469.3639516,5
376,20,11,81,2.585580686,81,46,3.060740741,14
377,75,16,68,3.999266645,68,44,110.5959137,7
378,48,11,67,5.153846154,67,42,473.5177978,5
379,65,19,28,1.839751553,28,44,139.4566613,6
380,33,12,11,0.44,11,46,191.9615676,11
381,64,13,48,1.92,48,46,192.4015676,11
382,23,17,21,1.354385965,21,44,141.2964128,6
383,69,11,63,4.846153846,63,42,478.6716439,5
384,28,20,70,3.033562166,70,44,10.39837503,10
385,55,13,85,3.4,85,46,194.3215676,11
386,31,18,71,5.461538462,71,42,483.5177978,5
387,17,13,75,3.567358293,75,44,66.90098898,9
388,38,20,99,3.633614304,99,46,37.98027767,12
389,99,13,96,7.384615385,96,42,488.9793362,5
390,41,19,67,3.50504644,67,44,52.24990379,8
391,43,12,11,0.44,11,46,197.7215676,11
392,51,19,91,3.64,91,46,198.1615676,11
393,22,15,90,3.873872661,90,44,13.4319372,10
394,84,12,86,6.615384615,86,42,496.3639516,5
395,24,13,11,0.44,11,46,201.8015676,11
396,91,20,97,5.097904544,97,44,55.75495023,8
397,76,12,76,5.846153846,76,42,502.9793362,5
398,100,12,16,0.64,16,46,202.2415676,11
399,32,17,49,1.96,49,46,202.8815676,11
400,41,13,35,1.4,35,46,204.8415676,11
401,55,19,86,6.615384615,86,42,508.8254901,5
402,92,15,96,5.635485132,96,44,114.5951803,7
403,53,12,31,1.24,31,46,206.2415676,11
404,88,18,37,1.48,37,46,207.4815676,11
405,13,10,52,1.911264368,52,46,41.61389198,12
406,32,16,78,6,78,42,515.4408747,5
407,45,12,81,4.249254658,81,44,60.85285477,8
408,85,19,41,1.64,41,46,208.9615676,11
409,97,18,91,7,91,42,521.4408747,5
410,53,17,26,1.04,26,46,210.6015676,11
411,99,15,31,2.059749117,31,44,142.6507988,6
412,84,13,51,2.04,51,46,211.6415676,11
413,47,10,86,4.08409002,86,44,70.46834727,9
414,99,10,69,5.307692308,69,42,528.4408747,5
415,62,14,98,3.605925926,98,46,43.52515635,12
416,49,11,88,3.851058529,88,44,17.30580986,10
417,42,11,97,7.461538462,97,42,533.748567,5
418,54,12,27,1.08,27,46,213.6815676,11
419,54,11,17,0.68,17,46,214.7615676,11
420,86,19,63,2.52,63,46,215.4415676,11
421,90,20,36,2.361816305,36,44,144.7105479,6
422,65,20,23,2.078253968,23,42,33.25450882,4
423,31,13,46,1.84,46,46,217.9615676,11
424,97,13,15,0.935403727,15,44,147.0723642,6
425,90,20,18,1.982683983,18,42,13.29691309,3
426,41,20,46,3.014115852,46,44,148.0077679,6
427,92,11,30,2.666666667,30,42,35.33276279,4
428,42,17,39,1.56,39,46,219.8015676,11
429,28,16,45,2.604452307,45,44,120.2306655,7
430,46,16,70,5.384615385,70,42,541.2101055,5
431,27,13,63,2.52,63,46,221.3615676,11
432,48,13,100,4.739398304,100,44,74.5524373,9
433,76,11,68,5.230769231,68,42,546.5947208,5
434,22,17,92,3.68,92,46,223.8815676,11
435,49,12,17,1.474747475,17,42,37.99942946,4
436,97,17,29,2.547785548,29,42,39.47417693,4
437,58,15,52,3.419862893,52,44,151.0218838,6
438,89,17,79,6.076923077,79,42,551.8254901,5
439,67,13,38,1.52,38,46,227.5615676,11
440,23,12,48,2.525195341,48,44,65.10210943,8
441,40,18,11,0.391111111,11,46,47.13108227,12
442,31,20,47,1.88,47,46,229.0815676,11
443,87,17,57,4.384615385,57,42,557.9024131,5
444,66,16,88,4.188968457,88,44,79.2918356,9
445,89,13,79,3.16,79,46,230.9615676,11
446,68,19,42,3.230769231,42,42,562.2870285,5
447,59,20,21,1.352380952,21,44,154.4417467,6
448,83,13,25,1.923076923,25,42,565.5177978,5
449,94,12,25,2.262626263,25,42,42.02196248,4
450,40,20,15,0.6,15,46,234.1215676,11
451,58,11,65,3.812691575,65,44,122.8351178,7
452,11,13,49,1.794380587,49,46,47.52219338,12
453,37,10,86,6.615384615,86,42,567.4408747,5
454,78,11,36,1.44,36,46,234.7215676,11
455,12,11,56,2.401290951,56,44,21.15686839,10
456,54,12,18,0.72,18,46,236.1615676,11
457,17,13,91,3.348199234,91,46,49.31657397,12
458,27,16,17,0.99719888,17,44,126.6478094,7
459,100,19,79,6.076923077,79,42,574.0562593,5
460,72,14,48,2.818171964,48,44,127.6450082,7
461,48,16,73,3.456299252,73,44,83.48080406,9
462,71,18,59,2.36,59,46,236.8815676,11
463,13,18,65,5,65,42,580.1331824,5
464,21,15,70,2.8,70,46,239.2415676,11
465,31,17,42,2.520526316,42,44,130.4631802,7
466,12,12,31,2.384615385,31,42,585.1331824,5
467,100,16,20,2.134088134,20,42,15.27959707,3
468,41,16,21,1.352941176,21,44,155.7941276,6
469,55,20,70,5.384615385,70,42,587.5177978,5
470,68,10,17,1.101863354,17,44,157.1470688,6
471,26,12,66,2.440613027,66,46,52.6647732,12
472,41,16,62,3.262095136,62,44,67.62730477,8
473,39,11,82,3.28,82,46,242.0415676,11
474,41,16,90,3.887100103,90,44,23.55815934,10
475,12,12,73,5.615384615,73,42,592.9024131,5
476,100,13,50,3.846153846,50,42,598.5177978,5
477,41,10,99,3.96,99,46,245.3215676,11
478,24,17,94,4.4592503,94,44,86.93710331,9
479,48,20,43,3.307692308,43,42,602.3639516,5
480,11,19,51,1.877560664,51,46,55.10538623,12
481,12,14,26,2,26,42,605.6716439,5
482,16,10,73,3.161708619,73,44,27.44525944,10
483,94,11,27,2.076923077,27,42,607.6716439,5
484,71,15,26,2.313908314,26,42,44.28458874,4
485,81,19,51,3.923076923,51,42,609.748567,5
486,25,17,17,0.68,17,46,249.2815676,11
487,33,13,50,2,50,46,249.9615676,11
488,60,10,25,1.618163055,25,44,158.2489322,6
489,28,17,28,1.12,28,46,251.9615676,11
490,78,10,80,6.153846154,80,42,613.6716439,5
491,63,16,97,4.588823722,97,44,91.39635361,9
492,79,20,25,1,25,46,253.0815676,11
493,95,14,31,1.24,31,46,254.0815676,11
494,55,14,38,2.923076923,38,42,619.8254901,5
495,47,16,92,3.68,92,46,255.3215676,11
496,32,17,92,4.349240044,92,44,95.98517733,9
497,46,20,17,1.511709402,17,42,46.59849706,4
498,52,20,81,6.230769231,81,42,622.748567,5
499,86,16,93,3.72,93,46,259.0015676,11
500,73,18,58,3.386554622,58,44,132.9837065,7
501,16,14,33,2.538461538,33,42,628.9793362,5
502,49,13,45,2.954168029,45,44,159.8670952,6
503,22,12,88,6.769230769,88,42,631.5177978,5
504,70,17,87,3.48,87,46,262.7215676,11
505,66,10,27,1.765217391,27,44,162.8212633,6
506,75,20,43,2.846351172,43,44,164.5864807,6
507,55,19,35,2.692307692,35,42,638.2870285,5
508,14,10,60,2.27,60,46,56.9829469,12
509,35,13,27,1.542540494,27,44,136.3702611,7
510,23,10,25,1.923076923,25,42,640.9793362,5
511,16,17,25,1.19047619,25,44,100.3344174,9
512,56,18,48,3.692307692,48,42,642.9024131,5
513,79,11,86,5.032114814,86,44,137.9128016,7
514,49,20,63,2.52,63,46,266.2015676,11
515,71,14,42,3.230769231,42,42,646.5947208,5
516,53,10,14,1.076923077,14,42,649.8254901,5
517,60,11,15,1.587301587,15,42,17.4136852,3
518,65,15,78,4.063037389,78,44,70.88939991,8
519,61,20,78,6,78,42,650.9024131,5
520,45,19,33,1.32,33,46,268.7215676,11
521,45,14,57,2.084814815,57,46,59.2529469,12
522,95,10,79,6.076923077,79,42,656.9024131,5
523,41,12,81,4.229398304,81,44,74.9524373,8
524,66,10,13,0.52,13,46,270.0415676,11
525,60,20,17,0.68,17,46,270.5615676,11
526,12,19,95,3.249706258,95,46,23.80152927,13
527,10,17,11,0.675217391,11,44,167.4328318,6
528,72,15,48,3.692307692,48,42,662.9793362,5
529,25,20,98,4.651080258,98,44,101.5248936,9
530,32,17,47,1.88,47,46,271.2415676,11
531,52,12,27,2.076923077,27,42,666.6716439,5
532,44,13,77,5.923076923,77,42,668.748567,5
533,98,13,94,3.76,94,46,273.1215676,11
534,66,19,62,4.115288221,62,44,168.1080492,6
535,100,20,40,3.606060606,40,42,48.11020646,4
536,87,14,56,3.236219705,56,44,142.9449164,7
537,30,17,47,1.88,47,46,276.8815676,11
538,78,13,54,4.153846154,54,42,674.6716439,5
539,87,16,56,4.307692308,56,42,678.8254901,5
540,41,12,83,3.94935164,83,44,106.1759738,9
