Cloudlet ID,STATUS,Data centerID,VM ID,Tim,Start Time,Finish Time
152,SUCCESS,5,8,0.81,7.34,8.15
182,SUCCESS,3,1,0.64,7.54,8.18
172,SUCCESS,4,6,0.44,7.78,8.22
186,SUCCESS,5,7,0.33,7.93,8.26
255,SUCCESS,5,9,0.22,8.04,8.26
199,SUCCESS,3,1,0.11,8.18,8.29
225,SUCCESS,3,2,0.46,7.94,8.4
153,SUCCESS,4,5,0.55,7.89,8.44
192,SUCCESS,5,7,0.3,8.26,8.56
196,SUCCESS,4,4,0.47,8.1,8.57
259,SUCCESS,5,9,0.41,8.26,8.67
181,SUCCESS,4,6,0.46,8.22,8.68
235,SUCCESS,3,2,0.3,8.4,8.7
167,SUCCESS,5,8,0.63,8.15,8.78
202,SUCCESS,3,1,0.52,8.29,8.81
211,SUCCESS,4,4,0.26,8.57,8.83
176,SUCCESS,5,8,0.14,8.78,8.92
142,SUCCESS,3,3,0.87,8.05,8.92
272,SUCCESS,5,9,0.36,8.67,9.03
246,SUCCESS,3,2,0.33,8.7,9.03
220,SUCCESS,4,4,0.24,8.83,9.07
204,SUCCESS,5,7,0.58,8.56,9.14
256,SUCCESS,3,2,0.11,9.03,9.14
162,SUCCESS,4,5,0.74,8.44,9.18
194,SUCCESS,4,6,0.5,8.68,9.18
178,SUCCESS,5,8,0.33,8.92,9.25
216,SUCCESS,3,1,0.44,8.81,9.25
157,SUCCESS,3,3,0.33,8.92,9.25
185,SUCCESS,5,8,0.11,9.25,9.36
283,SUCCESS,5,9,0.33,9.03,9.36
227,SUCCESS,3,1,0.11,9.25,9.36
175,SUCCESS,4,5,0.19,9.18,9.37
258,SUCCESS,3,2,0.33,9.14,9.47
203,SUCCESS,4,6,0.3,9.18,9.48
218,SUCCESS,5,7,0.44,9.14,9.58
229,SUCCESS,3,1,0.22,9.36,9.58
226,SUCCESS,4,4,0.52,9.07,9.59
187,SUCCESS,5,8,0.35,9.36,9.7
231,SUCCESS,3,1,0.13,9.58,9.72
177,SUCCESS,4,5,0.44,9.37,9.8
288,SUCCESS,5,9,0.46,9.36,9.81
267,SUCCESS,3,2,0.42,9.47,9.89
207,SUCCESS,4,6,0.44,9.48,9.91
302,SUCCESS,5,9,0.11,9.81,9.92
163,SUCCESS,3,3,0.75,9.25,10
238,SUCCESS,3,1,0.41,9.72,10.13
195,SUCCESS,5,8,0.45,9.7,10.15
241,SUCCESS,4,4,0.56,9.59,10.15
224,SUCCESS,5,7,0.68,9.58,10.26
208,SUCCESS,5,8,0.11,10.15,10.26
215,SUCCESS,4,6,0.38,9.91,10.29
278,SUCCESS,3,2,0.4,9.89,10.29
310,SUCCESS,5,9,0.45,9.92,10.38
190,SUCCESS,4,5,0.65,9.8,10.46
290,SUCCESS,3,2,0.29,10.29,10.59
323,SUCCESS,5,9,0.24,10.38,10.61
170,SUCCESS,3,3,0.7,10,10.7
201,SUCCESS,4,5,0.26,10.46,10.71
243,SUCCESS,5,7,0.47,10.26,10.73
249,SUCCESS,3,1,0.69,10.13,10.81
254,SUCCESS,4,4,0.67,10.15,10.82
330,SUCCESS,5,9,0.22,10.61,10.84
265,SUCCESS,3,1,0.11,10.81,10.92
222,SUCCESS,4,6,0.64,10.29,10.93
253,SUCCESS,5,7,0.22,10.73,10.95
209,SUCCESS,5,8,0.69,10.26,10.95
336,SUCCESS,5,9,0.11,10.84,10.95
298,SUCCESS,3,2,0.44,10.59,11.03
257,SUCCESS,5,7,0.11,10.95,11.06
205,SUCCESS,4,5,0.42,10.71,11.13
311,SUCCESS,3,2,0.11,11.03,11.14
340,SUCCESS,5,9,0.27,10.95,11.22
223,SUCCESS,5,8,0.38,10.95,11.33
312,SUCCESS,3,2,0.21,11.14,11.35
271,SUCCESS,4,4,0.56,10.82,11.38
236,SUCCESS,4,6,0.45,10.93,11.38
348,SUCCESS,5,9,0.22,11.22,11.44
212,SUCCESS,4,5,0.36,11.13,11.49
232,SUCCESS,5,8,0.22,11.33,11.55
270,SUCCESS,3,1,0.64,10.92,11.56
264,SUCCESS,5,7,0.6,11.06,11.66
357,SUCCESS,5,9,0.22,11.44,11.66
188,SUCCESS,3,3,0.97,10.7,11.67
282,SUCCESS,4,4,0.3,11.38,11.69
321,SUCCESS,3,2,0.43,11.35,11.78
281,SUCCESS,3,1,0.33,11.56,11.89
292,SUCCESS,4,4,0.26,11.69,11.94
360,SUCCESS,5,9,0.29,11.66,11.95
327,SUCCESS,3,2,0.22,11.78,12
217,SUCCESS,4,5,0.56,11.49,12.05
250,SUCCESS,4,6,0.67,11.38,12.05
273,SUCCESS,5,7,0.4,11.66,12.06
200,SUCCESS,3,3,0.44,11.67,12.11
237,SUCCESS,5,8,0.62,11.55,12.17
372,SUCCESS,5,9,0.22,11.95,12.17
266,SUCCESS,4,6,0.16,12.05,12.22
291,SUCCESS,3,1,0.33,11.89,12.22
334,SUCCESS,3,2,0.22,12,12.22
335,SUCCESS,3,2,0.19,12.22,12.41
230,SUCCESS,4,5,0.46,12.05,12.52
280,SUCCESS,5,7,0.48,12.06,12.54
297,SUCCESS,4,4,0.68,11.94,12.63
377,SUCCESS,5,9,0.48,12.17,12.65
210,SUCCESS,3,3,0.55,12.11,12.67
294,SUCCESS,3,1,0.55,12.22,12.78
390,SUCCESS,5,9,0.13,12.65,12.78
268,SUCCESS,4,6,0.67,12.22,12.89
341,SUCCESS,3,2,0.48,12.41,12.89
219,SUCCESS,3,3,0.22,12.67,12.89
251,SUCCESS,5,8,0.72,12.17,12.89
317,SUCCESS,4,4,0.37,12.63,13
239,SUCCESS,4,5,0.48,12.52,13
394,SUCCESS,5,9,0.22,12.78,13.01
296,SUCCESS,5,7,0.57,12.54,13.12
403,SUCCESS,5,9,0.22,13.01,13.23
313,SUCCESS,3,1,0.47,12.78,13.25
279,SUCCESS,4,6,0.41,12.89,13.3
