TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
1161,14.069999999999947,31,17,10,65.4504427852564,-70.31558141742734,16418.0,48.0,5.0,7.0,9.0,915.0,0.45,5.53,659.27,3
1162,19.570000000000036,54,13,18,79.44997204713695,48.60284040716007,15895.0,40.0,4.0,4.0,7.0,919.0,0.66,6.46,661.98,5
1163,14.179999999999946,43,15,18,-14.718834162322253,73.52942427165567,5853.0,40.0,4.0,4.0,7.0,919.0,0.4,5.33,651.41,5
1164,20.57552647595867,47,17,10,49.994241198114054,-163.08567645109375,7898.0,37.0,4.0,9.0,6.0,921.0,0.39,6.23,655.21,4
1165,13.739999999999949,64,10,24,-11.747709411323541,-88.57353005607736,7701.0,48.0,5.0,7.0,9.0,915.0,0.73,9.66,652.28,3
1166,15.727601947656664,80,16,23,78.83455866312613,-132.8468222628817,11073.0,37.0,4.0,9.0,6.0,921.0,0.77,9.44,659.78,4
1167,20.685526475958675,45,15,22,36.944336639387686,-111.26550671779866,7602.0,37.0,4.0,9.0,6.0,921.0,0.87,5.85,654.9,4
1168,24.300000000000164,28,15,12,44.93650181696694,-2.964350555833107,12773.0,40.0,4.0,4.0,7.0,919.0,0.45,3.68,657.68,5
1169,29.250000000000174,70,13,18,-77.21285337735402,-63.971608660325046,1352.0,48.0,5.0,7.0,9.0,915.0,2.45,10.71,646.87,3
1170,14.179999999999946,46,11,11,1.5198398883783852,174.10575636228992,9573.0,48.0,5.0,7.0,9.0,915.0,0.5,7.21,653.11,3
1171,19.68000000000004,10,16,13,0.7904770040446607,9.611756169512432,7720.0,40.0,4.0,4.0,7.0,919.0,0.48,1.74,651.86,5
1172,14.289999999999946,52,14,24,-53.6371271837004,41.21137785062075,1117.0,40.0,4.0,4.0,7.0,919.0,0.53,6.28,647.09,5
1173,29.430000000000174,16,12,19,-64.72685991311562,-107.84737989424823,1649.0,48.0,5.0,7.0,9.0,915.0,2.59,3.08,644.16,3
1174,24.410000000000167,58,11,13,17.559158795524496,10.660766152884776,9489.0,40.0,4.0,4.0,7.0,919.0,0.49,6.82,655.66,5
1175,14.289999999999946,56,15,11,-29.584474054088112,-80.38868128504548,5861.0,48.0,5.0,7.0,9.0,915.0,0.5,8.89,650.07,3
1176,13.849999999999948,19,13,20,-31.437547652006558,-108.85566310941408,5314.0,48.0,5.0,7.0,9.0,915.0,0.61,3.57,647.43,3
1177,29.620000000000175,73,13,19,-22.941400868465436,-65.53240462920759,6857.0,48.0,5.0,7.0,9.0,915.0,2.59,11.13,652.59,3
1178,14.399999999999945,12,17,22,-86.83037036392611,154.4308155450596,1245.0,48.0,5.0,7.0,9.0,915.0,1.0,2.87,643.19,3
1179,22.115526475958713,80,11,16,34.04339629645668,153.5639897719255,8412.0,37.0,4.0,9.0,6.0,921.0,0.48,8.99,656.85,4
1180,22.225526475958716,88,13,22,-29.132683478843163,-162.23126782632073,1502.0,37.0,4.0,9.0,6.0,921.0,0.66,9.97,650.39,4
1181,19.790000000000042,26,14,14,-71.83728937672613,31.65558030766394,1081.0,40.0,4.0,4.0,7.0,919.0,0.51,3.42,645.9,5
1182,24.52000000000017,64,14,15,-10.700060611966933,39.542672968904384,5885.0,40.0,4.0,4.0,7.0,919.0,0.56,7.6,652.39,5
1183,29.810000000000176,20,20,19,-21.529334957621757,155.53332808955588,7440.0,48.0,5.0,7.0,9.0,915.0,2.59,4.2,650.4,3
1184,15.837601947656664,52,15,14,-20.782626723576556,-123.97659382802404,2814.0,37.0,4.0,9.0,6.0,921.0,0.47,6.55,650.28,4
1185,20.90552647595868,24,17,23,1.1847318715796291,-141.58415962256652,2593.0,37.0,4.0,9.0,6.0,921.0,0.91,3.93,649.14,4
1186,13.959999999999948,31,16,21,-18.996523229743644,-70.31777195195482,7198.0,48.0,5.0,7.0,9.0,915.0,0.64,5.46,650.07,3
1187,19.900000000000045,51,10,21,33.315728393721386,-20.163307417486436,12184.0,40.0,4.0,4.0,7.0,919.0,0.77,6.01,658.12,5
1188,15.947601947656663,87,12,10,-19.391787448106072,-177.42350737169883,2760.0,37.0,4.0,9.0,6.0,921.0,0.33,9.78,651.47,4
1189,14.399999999999945,64,17,23,-72.55267228521078,3.9533706989251414,1928.0,40.0,4.0,4.0,7.0,919.0,0.51,7.72,648.47,5
