TaskID,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,CpuTime,StartExecTime,getFinishTime,DataCenterID,VmID
387,83,20,15,3.567358293,75.0,0.639411764705887,22.791382227948397,23.430793992654284,4,10
388,34,14,25,3.633614304,99.0,0.8511115230915038,16.517962756972757,17.36907428006426,5,13
389,55,13,19,7.384615385,96.0,1.2092378003833062,32.43076745572374,33.640005256107045,4,6
390,13,16,20,3.50504644,67.0,2.8199567099567275,76.59954933954941,79.41950604950614,3,2
391,95,15,24,0.44,11.0,1.4623090334532058,29.89230281586321,31.354611849316417,4,7
392,20,12,11,3.64,91.0,0.40518518518519286,17.36907428006426,17.774259465249454,5,13
393,77,13,23,3.873872661,90.0,1.7459207459207455,19.799007659007664,21.54492840492841,3,5
394,76,19,13,6.615384615,86.0,0.6062406015037602,23.430793992654284,24.037034594158044,4,10
395,13,18,19,0.44,11.0,0.611612903225808,19.2136719812137,19.825284884439508,5,14
396,80,14,15,5.097904544,97.0,2.076035076035069,79.41950604950614,81.49554112554121,3,2
397,76,12,19,5.846153846,76.0,0.8228909229595729,24.037034594158044,24.859925517117617,4,10
398,63,18,25,0.64,16.0,0.8479310344827624,17.774259465249454,18.622190499732216,5,13
399,19,17,23,1.96,49.0,1.3114497240543805,31.354611849316417,32.6660615733708,4,7
400,11,19,13,1.4,35.0,0.5404783092324799,14.264080665760298,14.804558974992778,5,12
401,41,20,15,6.615384615,86.0,1.3479853479853503,37.596759906759935,38.944745254745285,3,4
402,22,14,18,5.635485132,96.0,0.7100000000000044,17.66425946524945,18.374259465249455,5,11
403,93,16,17,1.24,31.0,2.4171151071151087,81.49554112554121,83.91265623265632,3,2
404,46,14,15,1.48,37.0,0.8639436827362488,32.6660615733708,33.530005256107046,4,7
405,74,20,20,1.911264368,52.0,2.178998778998775,54.3664757464758,56.545474525474575,3,3
406,11,11,12,6.0,78.0,0.368064516129035,19.825284884439508,20.193349400568543,5,14
407,62,12,20,4.249254658,81.0,0.8275471286912932,24.859925517117617,25.68747264580891,4,10
408,69,19,21,1.64,41.0,2.289266289266287,56.545474525474575,58.83474081474086,3,3
409,66,14,10,7.0,91.0,-1.0,0.0,-1.0,-1,15
410,55,14,19,1.04,26.0,0.7614794215795317,14.804558974992778,15.56603839657231,5,12
411,73,18,23,2.059749117,31.0,0.9942374478395521,25.68747264580891,26.681710093648462,4,10
412,66,13,21,2.04,51.0,2.8957264957264925,83.91265623265632,86.80838272838281,3,2
413,59,18,25,4.08409002,86.0,0.9994125159642451,18.374259465249455,19.3736719812137,5,11
414,22,13,17,5.307692308,69.0,0.7886274509803908,13.886621284669465,14.675248735649856,4,9
415,33,19,14,3.605925926,98.0,0.48148148148148096,18.622190499732216,19.103671981213697,5,13
416,45,12,25,3.851058529,88.0,1.2712020460358175,21.52018018191258,22.791382227948397,4,8
417,70,10,22,7.461538462,97.0,4.256053946053953,98.48907758907765,102.7451315351316,3,1
418,77,16,25,1.08,27.0,0.979677419354843,19.3736719812137,20.353349400568543,5,11
419,32,20,12,0.68,17.0,0.5086193745232634,26.681710093648462,27.190329468171726,4,10
420,77,11,15,2.52,63.0,1.133199023199026,21.54492840492841,22.678127428127436,3,5
421,30,10,20,2.361816305,36.0,0.7962962962963047,20.353349400568543,21.149645696864848,5,11
422,49,15,21,2.078253968,23.0,0.8943137254901963,27.190329468171726,28.084643193661922,4,10
423,23,14,17,1.84,46.0,1.2909312909312938,22.678127428127436,23.96905871905873,3,5
424,34,10,12,0.935403727,15.0,-1.0,0.0,-1.0,-1,15
425,56,19,14,1.982683983,18.0,2.665001665001668,102.7451315351316,105.41013320013327,3,1
426,15,17,17,3.014115852,46.0,0.7849226006191969,28.084643193661922,28.86956579428112,4,10
427,50,13,14,2.666666667,30.0,1.061383061383058,23.96905871905873,25.030441780441787,3,5
428,19,13,15,1.56,39.0,-1.0,0.0,-1.0,-1,15
429,46,14,17,2.604452307,45.0,0.8499380804953596,22.791382227948397,23.641320308443756,4,8
430,84,14,11,5.384615385,70.0,1.1311111111111103,58.83474081474086,59.96585192585197,3,3
431,10,13,23,2.52,63.0,0.8316129032258139,19.103671981213697,19.93528488443951,5,13
432,36,17,20,4.739398304,100.0,1.1739897698209703,33.530005256107046,34.703995025928016,4,7
433,68,11,19,5.230769231,68.0,2.6370296370296273,86.80838272838281,89.44541236541244,3,2
434,57,14,24,3.68,92.0,3.386146076146076,89.44541236541244,92.83155844155851,3,2
435,41,11,21,1.474747475,17.0,0.6762962962963037,20.193349400568543,20.869645696864847,5,14
436,33,18,21,2.547785548,29.0,1.2162745098039167,34.703995025928016,35.92026953573193,4,7
437,97,12,15,3.419862893,52.0,2.0511477411477443,92.83155844155851,94.88270618270626,3,2
438,64,13,23,6.076923077,79.0,2.0605605505605524,38.944745254745285,41.00530580530584,3,4
439,26,18,10,1.52,38.0,-1.0,0.0,-1.0,-1,15
440,39,12,22,2.525195341,48.0,1.0390476190476186,14.675248735649856,15.714296354697474,4,9
441,62,13,22,0.391111111,11.0,0.8243608124253328,19.93528488443951,20.759645696864844,5,13
442,19,12,19,1.88,47.0,0.9781704260651622,23.641320308443756,24.61949073450892,4,8
443,57,19,19,4.384615385,57.0,2.577311577311562,94.88270618270626,97.46001776001782,3,2
444,30,11,25,4.188968457,88.0,-1.0,0.0,-1.0,-1,15
445,88,13,20,3.16,79.0,3.9751359751359843,105.41013320013327,109.38526917526926,3,1
446,25,20,17,3.230769231,42.0,0.8940688678217299,24.61949073450892,25.51355960233065,4,8
447,55,17,11,1.352380952,21.0,0.5594548391438998,25.51355960233065,26.073014441474548,4,8
448,53,15,17,1.923076923,25.0,0.5380645161290332,20.869645696864847,21.40771021299388,5,14
449,68,19,16,2.262626263,25.0,2.1479409479409526,97.46001776001782,99.60795870795877,3,2
450,81,14,24,0.6,15.0,1.5973231031543023,33.640005256107045,35.23732835926135,4,6
451,27,18,17,3.812691575,65.0,0.5293548387096791,21.40771021299388,21.93706505170356,5,14
452,89,12,17,1.794380587,49.0,1.4955044955044983,41.00530580530584,42.500810300810336,3,4
453,11,13,13,6.615384615,86.0,-1.0,0.0,-1.0,-1,15
454,97,12,23,1.44,36.0,2.449994449994442,59.96585192585197,62.415846375846414,3,3
455,24,14,18,2.401290951,56.0,0.899923722349353,26.073014441474548,26.9729381638239,4,8
456,76,19,21,0.72,18.0,0.9720169990192851,15.714296354697474,16.68631335371676,4,9
457,64,10,11,3.348199234,91.0,-1.0,0.0,-1.0,-1,15
458,16,18,21,0.99719888,17.0,0.7580645161290391,20.759645696864844,21.517710212993883,5,13
459,67,16,16,6.076923077,79.0,1.185592185592185,25.030441780441787,26.216033966033972,3,5
460,12,18,13,2.818171964,48.0,0.8162745098039181,35.23732835926135,36.053602869065266,4,6
461,35,18,23,3.456299252,73.0,2.006549006549008,42.500810300810336,44.507359307359344,3,4
462,100,10,21,2.36,59.0,1.5827272727272756,26.216033966033972,27.798761238761248,3,5
463,49,18,16,5.0,65.0,0.6070967741935505,15.56603839657231,16.17313517076586,5,12
464,27,18,25,2.8,70.0,1.1806113108859115,16.68631335371676,17.86692466460267,4,9
465,10,17,17,2.520526316,42.0,0.6393548387096821,21.517710212993883,22.157065051703565,5,13
466,77,19,13,2.384615385,31.0,0.5861904761904775,17.86692466460267,18.453115140793148,4,9
467,93,14,18,2.134088134,20.0,1.3530891330891386,27.798761238761248,29.151850371850387,3,5
468,52,12,24,1.352941176,21.0,0.8622349936143081,16.17313517076586,17.03537016438017,5,12
469,43,17,22,5.384615385,70.0,1.0343889134601234,18.453115140793148,19.48750405425327,4,9
470,70,14,23,1.101863354,17.0,1.7589743589743598,29.151850371850387,30.910824730824746,3,5
471,50,16,11,2.440613027,66.0,-1.0,0.0,-1.0,-1,15
472,26,13,16,3.262095136,62.0,0.5353285543608166,22.157065051703565,22.692393606064382,5,13
473,56,16,13,3.28,82.0,0.7307526488856411,26.9729381638239,27.703690812709542,4,8
474,33,19,20,3.887100103,90.0,-1.0,0.0,-1.0,-1,15
475,47,12,18,5.615384615,73.0,1.0449435609484041,35.92026953573193,36.96521309668034,4,7
476,24,10,17,3.846153846,50.0,3.203839493839496,109.38526917526926,112.58910866910875,3,1
477,93,20,19,3.96,99.0,1.4443334443334486,30.910824730824746,32.355158175158195,3,5
478,61,17,25,4.4592503,94.0,1.4190821683364376,36.96521309668034,38.384295265016775,4,7
479,43,19,12,3.307692308,43.0,-1.0,0.0,-1.0,-1,15
480,91,13,25,1.877560664,51.0,2.6864246864246866,62.415846375846414,65.1022710622711,3,3
481,88,15,16,2.0,26.0,0.7157983193277353,19.48750405425327,20.203302373581007,4,9
482,74,12,17,3.161708619,73.0,-1.0,0.0,-1.0,-1,15
483,26,12,11,2.076923077,27.0,0.349032258064522,21.93706505170356,22.28609730976808,5,14
484,60,10,12,2.313908314,26.0,0.6570197873199675,38.384295265016775,39.04131505233674,4,7
485,89,11,19,3.923076923,51.0,1.6525685425685452,44.507359307359344,46.15992784992789,3,4
486,34,12,20,0.68,17.0,0.744838709677424,22.692393606064382,23.437232315741806,5,13
487,50,11,21,2.0,50.0,0.9589830714894667,20.203302373581007,21.162285445070474,4,9
488,63,11,17,1.618163055,25.0,1.2383838383838395,32.355158175158195,33.593542013542034,3,5
489,69,10,18,1.12,28.0,1.3636363636363669,33.593542013542034,34.9571783771784,3,5
490,82,18,24,6.153846154,80.0,2.6372283272283283,65.1022710622711,67.73949938949943,3,3
491,45,12,12,4.588823722,97.0,0.4062962962963006,22.28609730976808,22.692393606064382,5,14
492,65,15,10,1.0,25.0,0.5678260869565221,39.04131505233674,39.609141139293264,4,7
493,86,20,18,1.24,31.0,1.0522084623322954,39.609141139293264,40.66134960162556,4,7
494,65,12,24,2.923076923,38.0,1.0074193548387171,21.149645696864848,22.157065051703565,5,11
495,15,10,13,3.68,92.0,0.6441102756892221,27.703690812709542,28.347801088398764,4,8
496,95,17,12,4.349240044,92.0,1.02097902097902,46.15992784992789,47.18090687090691,3,4
497,26,17,24,1.511709402,17.0,0.8052169076751952,23.437232315741806,24.242449223417,5,13
498,71,17,10,6.230769231,81.0,0.7362637362637372,34.9571783771784,35.69344211344214,3,5
499,80,20,16,3.72,93.0,0.9340165631470043,40.66134960162556,41.595366164772564,4,7
500,47,18,11,3.386554622,58.0,0.46072463768116023,28.86956579428112,29.33029043196228,4,10
501,33,19,15,2.538461538,33.0,0.5188893008692794,17.03537016438017,17.554259465249448,5,12
502,53,12,12,2.954168029,45.0,1.2730380730380801,67.73949938949943,69.01253746253751,3,3
503,52,18,11,6.769230769,88.0,0.5778947368421115,21.162285445070474,21.740180181912585,4,9
504,89,14,21,3.48,87.0,1.8557664557664566,47.18090687090691,49.036673326673366,3,4
505,44,14,20,1.765217391,27.0,0.6348387096774211,22.692393606064382,23.327232315741803,5,14
506,33,19,17,2.846351172,43.0,0.7359254273791933,29.33029043196228,30.066215859341472,4,10
507,14,14,25,2.692307692,35.0,-1.0,0.0,-1.0,-1,15
508,89,14,18,2.27,60.0,1.35786324786325,35.69344211344214,37.05130536130539,3,5
509,99,10,21,1.542540494,27.0,1.0512020460358116,21.740180181912585,22.791382227948397,4,9
510,71,19,15,1.923076923,25.0,1.5954933954934063,69.01253746253751,70.60803085803092,3,3
511,96,16,16,1.19047619,25.0,1.3991330891330946,49.036673326673366,50.43580641580646,3,4
512,39,16,24,3.692307692,48.0,1.362905857995365,41.595366164772564,42.95827202276793,4,7
513,27,10,17,5.032114814,86.0,0.5293548387096791,23.327232315741803,23.856587154451482,5,14
514,68,16,10,2.52,63.0,1.0419580419580399,70.60803085803092,71.64998889998895,3,3
515,47,15,25,3.230769231,42.0,0.8052169076751952,23.856587154451482,24.661804062126677,5,14
516,26,10,16,1.076923077,14.0,0.7498245614035142,30.066215859341472,30.816040420744987,4,10
517,24,13,19,1.587301587,15.0,2.0498390498390506,71.64998889998895,73.699827949828,3,3
518,64,14,19,4.063037389,78.0,2.1063147963148054,73.699827949828,75.80614274614281,3,3
519,17,15,24,6.0,78.0,1.1356523662096443,22.791382227948397,23.92703459415804,4,9
520,65,12,19,1.32,33.0,1.641469641469648,50.43580641580646,52.07727605727611,3,4
521,49,13,13,2.084814815,57.0,0.41935483870967616,24.242449223417,24.661804062126677,5,13
522,24,11,21,6.076923077,79.0,0.8153285543608177,22.157065051703565,22.972393606064383,5,11
523,35,14,23,4.229398304,81.0,1.3570676691729346,42.95827202276793,44.31533969194086,4,7
524,16,16,20,0.52,13.0,-1.0,0.0,-1.0,-1,15
525,89,18,25,0.68,17.0,1.893439893439897,37.05130536130539,38.944745254745285,3,5
526,42,11,12,3.249706258,95.0,0.7939631687915423,36.053602869065266,36.84756603785681,4,6
527,10,13,12,0.675217391,11.0,-1.0,0.0,-1.0,-1,15
528,39,20,14,3.692307692,48.0,1.0655555555555551,38.944745254745285,40.01030081030084,3,5
529,92,20,21,4.651080258,98.0,4.005304695304687,112.58910866910875,116.59441336441344,3,1
530,72,18,15,1.88,47.0,0.6924561403508775,23.92703459415804,24.61949073450892,4,9
531,42,11,15,2.076923077,27.0,0.9612560813799149,36.84756603785681,37.80882211923672,4,6
532,91,20,10,5.923076923,77.0,1.0156288156288298,75.80614274614281,76.82177156177164,3,3
533,27,15,10,3.76,94.0,-1.0,0.0,-1.0,-1,15
534,51,17,24,4.115288221,62.0,1.2503840804056239,28.347801088398764,29.598185168804388,4,8
535,23,11,10,3.606060606,40.0,0.33000000000000895,24.661804062126677,24.991804062126686,5,13
536,48,11,11,3.236219705,56.0,0.8131868131868174,40.01030081030084,40.82348762348766,3,5
537,93,20,14,1.88,47.0,1.9079809079809138,99.60795870795877,101.51593961593969,3,2
538,82,20,17,4.153846154,54.0,0.9986859091462676,44.31533969194086,45.31402560108713,4,7
539,35,19,24,4.307692308,56.0,0.9300000000000104,17.554259465249448,18.48425946524946,5,12
540,34,17,20,3.94935164,83.0,1.3424929331000186,37.80882211923672,39.15131505233674,4,6
541,92,13,20,1.2,30.0,2.2020202020202078,76.82177156177164,79.02379176379185,3,3
542,43,16,23,0.84,21.0,0.7901796234499301,24.991804062126686,25.781983685576616,5,13
543,94,13,24,2.04,51.0,3.2858019758019736,101.51593961593969,104.80174159174166,3,2
544,91,20,20,1.272727273,14.0,1.2823874904652897,39.15131505233674,40.43370254280203,4,6
545,67,20,21,2.538461538,23.0,-1.0,0.0,-1.0,-1,15
546,37,13,22,4.35985488,92.0,1.1078552519405953,29.598185168804388,30.706040420744984,4,8
547,20,10,17,2.923076923,38.0,0.619412515964239,18.48425946524946,19.103671981213697,5,12
548,91,20,21,3.923076923,51.0,1.8447552447552482,52.07727605727611,53.92203130203136,3,4
549,88,13,14,3.76,94.0,1.0279720279720266,40.82348762348766,41.851459651459685,3,5
550,77,13,10,1.384615385,18.0,0.4309109730848881,24.61949073450892,25.050401707593807,4,9
551,74,20,23,1.612590299,25.0,0.8316129032258139,19.103671981213697,19.93528488443951,5,12
552,40,10,15,5.0,65.0,0.8452076482767055,45.31402560108713,46.15923324936384,4,7
553,47,18,17,4.374080983,75.0,1.8743467643467682,79.02379176379185,80.89813852813862,3,3
554,13,15,24,2.287931034,67.0,0.994193548387102,22.972393606064383,23.966587154451485,5,11
555,33,12,20,2.72,68.0,1.1212288393618408,46.15923324936384,47.28046208872568,4,7
556,73,13,20,2.585858586,29.0,1.734554334554332,53.92203130203136,55.65658563658569,3,4
557,47,20,22,3.230769231,42.0,0.9152169076751981,23.966587154451485,24.881804062126683,5,11
558,59,13,11,2.456583851,57.0,0.8031968031968049,41.851459651459685,42.65465645465649,3,5
559,76,18,11,1.64,41.0,0.6709803921568636,40.43370254280203,41.104682934958895,4,6
560,12,17,22,1.0,11.0,-1.0,0.0,-1.0,-1,15
561,84,18,23,6.153846154,80.0,3.2478632478632505,104.80174159174166,108.04960483960491,3,2
562,16,13,19,3.097173817,71.0,0.8224844720496947,30.816040420744987,31.63852489279468,4,10
563,15,14,16,0.48,12.0,0.7470709382151064,25.050401707593807,25.797472645808913,4,9
564,12,11,25,3.397407407,97.0,1.010179623449936,24.881804062126683,25.89198368557662,5,11
565,48,10,21,2.61512605,45.0,1.0903792088918038,30.706040420744984,31.796419629636787,4,8
566,34,18,14,1.585858586,18.0,1.8753468753468923,108.04960483960491,109.9249517149518,3,2
567,10,12,20,1.384615385,18.0,0.7143608124253298,19.93528488443951,20.64964569686484,5,12
568,96,11,20,2.538461538,33.0,1.784992784992781,55.65658563658569,57.44157842157847,3,4
569,34,11,19,3.476190476,53.0,0.8842374478395492,25.797472645808913,26.681710093648462,4,9
570,27,20,20,5.538461538,72.0,0.9119807190610771,26.681710093648462,27.59369081270954,4,9
571,24,10,16,2.84,71.0,1.3931623931623918,57.44157842157847,58.83474081474086,3,4
572,57,20,15,4.720021089,90.0,2.0641569541569567,109.9249517149518,111.98910866910876,3,2
573,26,12,20,1.376623377,13.0,0.7944955300127781,25.89198368557662,26.686479215589397,5,11
574,20,16,25,2.111111111,24.0,1.6259420289855058,41.104682934958895,42.7306249639444,4,6
575,11,12,14,2.813703704,82.0,1.9126862026861886,111.98910866910876,113.90179487179495,3,2
576,41,13,21,5.846153846,76.0,1.5799755799755815,42.65465645465649,44.23463203463207,3,5
577,35,13,11,1.861919505,28.0,0.43000000000000327,26.686479215589397,27.1164792155894,5,11
578,52,14,19,2.601002506,40.0,1.2115568332596212,42.7306249639444,43.94218179720402,4,6
579,88,16,17,4.846153846,63.0,1.8185137085137058,80.89813852813862,82.71665223665232,3,3
580,32,15,24,3.32,83.0,-1.0,0.0,-1.0,-1,15
581,95,18,11,4.074214885,86.0,0.4909523809523826,27.59369081270954,28.084643193661922,4,9
582,85,12,19,7.307692308,95.0,2.0273948273948292,82.71665223665232,84.74404706404715,3,3
583,47,11,19,2.96,74.0,0.8949226006191999,28.084643193661922,28.979565794281122,4,9
584,29,16,20,3.278579954,63.0,-1.0,0.0,-1.0,-1,15
585,14,11,10,1.16,29.0,0.5243478260869523,31.796419629636787,32.32076745572374,4,8
586,41,14,21,7.0,91.0,2.87443667443668,113.90179487179495,116.77623154623163,3,2
