TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
161,5.174474851196954,55,13,98,16201.0,48.0,5.0,10.0,6.0,3950.0,4.67,735.0,3060.4,3
153,5.520342116447087,45,13,20,6595.0,48.0,3.0,1.0,7.0,3953.0,0.29,463.0,2952.39,4
141,5.6036373047242565,16,18,21,17948.0,18.0,1.0,3.0,10.0,3950.0,0.32,230.0,2857.1,5
77,4.686487128614343,26,20,100,10013.0,48.0,5.0,10.0,6.0,3950.0,1.09,486.0,2959.73,3
130,5.332842116447087,20,10,65,7570.0,48.0,3.0,1.0,7.0,3953.0,0.68,210.0,2851.3,4
109,5.493637304724257,29,20,34,12614.0,18.0,1.0,3.0,10.0,3950.0,0.4,379.0,2916.72,5
160,5.630342116447086,88,19,39,14844.0,48.0,3.0,1.0,7.0,3953.0,0.57,899.0,3126.87,4
80,5.0489143130803615,84,16,85,16266.0,48.0,5.0,10.0,6.0,3950.0,0.87,1084.0,3198.86,3
94,5.2228421164470875,16,15,80,9691.0,48.0,3.0,1.0,7.0,3953.0,1.9,175.01,2837.67,4
162,5.6036373047242565,29,19,77,16324.0,18.0,1.0,3.0,10.0,3950.0,5.5,376.0,2917.05,5
173,5.6139367346050255,25,12,67,6409.0,48.0,5.0,10.0,6.0,3950.0,3.19,395.0,2923.96,3
146,5.722955486542438,45,11,55,7722.0,18.0,1.0,3.0,10.0,3950.0,0.85,528.0,2976.46,5
95,5.86956780256619,89,11,30,14157.0,48.0,5.0,10.0,6.0,3950.0,0.31,1089.0,3200.69,3
164,5.850342116447085,23,13,85,10058.0,48.0,3.0,1.0,7.0,3953.0,1.23,243.0,2864.67,4
139,5.740342116447086,44,14,98,4627.0,48.0,3.0,1.0,7.0,3953.0,1.02,454.01,2949.01,4
181,5.97956780256619,27,19,87,15507.0,48.0,5.0,10.0,6.0,3950.0,4.14,487.0,2961.04,3
171,5.966288819875771,87,12,92,5192.0,18.0,1.0,3.0,10.0,3950.0,6.57,993.0,3164.17,5
179,6.258419039524008,90,12,46,10026.0,48.0,3.0,1.0,7.0,3953.0,0.67,912.0,3132.1,4
110,5.960342116447085,50,20,58,11050.0,48.0,3.0,1.0,7.0,3953.0,1.38,520.0,2975.51,4
