TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterLatitude,DataCenterLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
520,63.81443518745407,47,17,92,34.1821122699139,24.62455734556383,69.11788034887269,60.650919370546035,4473.0,41.0,23.0,30.0,23.0,3376.0,2.06,26.72,2378.98,3
521,80.62206611570245,74,16,17,-29.033167940095467,49.81739959312844,63.24689495353044,-87.86374550916128,15168.0,56.0,15.0,23.0,23.0,3371.0,0.37,31.8,2387.7,5
522,80.76256198347104,70,17,75,2.198645895045317,122.9978698505605,63.24689495353044,-87.86374550916128,12298.0,56.0,15.0,23.0,23.0,3371.0,1.63,30.51,2384.69,5
523,93.58242990654206,73,20,83,-68.45353347053953,137.5898110761886,-77.10527729291653,94.68842319072581,1648.0,50.0,22.0,27.0,16.0,3369.0,3.56,33.14,2374.27,4
524,94.3581308411215,20,17,92,-76.12300050930841,74.71132071649015,-77.10527729291653,94.68842319072581,522.0,50.0,22.0,27.0,16.0,3369.0,3.94,12.19,2364.88,4
525,64.41183778485667,13,17,83,-57.980493203315554,134.0141296741857,69.11788034887269,60.650919370546035,15296.0,41.0,23.0,30.0,23.0,3376.0,1.86,11.08,2383.49,3
526,81.38239669421485,44,19,79,-8.988839068318072,18.981351571536607,63.24689495353044,-87.86374550916128,11738.0,56.0,15.0,23.0,23.0,3371.0,1.72,21.09,2380.39,5
527,82.03528925619833,52,14,71,-33.69749987001194,-140.76717695119828,63.24689495353044,-87.86374550916128,11746.0,56.0,15.0,23.0,23.0,3371.0,1.54,22.98,2381.1,5
528,64.9507988238177,13,11,60,63.204842734818016,114.27522575862787,69.11788034887269,60.650919370546035,2410.0,41.0,23.0,30.0,23.0,3376.0,1.34,9.28,2369.72,3
529,95.21794392523364,35,20,44,-86.78794398475773,-134.258718689347,-77.10527729291653,94.68842319072581,1689.0,50.0,22.0,27.0,16.0,3369.0,1.89,18.7,2368.04,4
530,82.62206611570245,58,11,26,79.1086860798917,2.183744360996741,63.24689495353044,-87.86374550916128,3195.0,56.0,15.0,23.0,23.0,3371.0,0.57,24.57,2372.89,5
531,82.8369421487603,92,18,46,8.802045244827298,-64.40578085940896,63.24689495353044,-87.86374550916128,6337.0,56.0,15.0,23.0,23.0,3371.0,1.0,39.1,2381.98,5
532,65.3404092134281,59,13,79,25.80741568706793,87.970016112532,69.11788034887269,60.650919370546035,5139.0,41.0,23.0,30.0,23.0,3376.0,1.77,31.04,2381.29,3
533,65.85339622641511,39,12,29,52.617499757719,74.11307265068535,69.11788034887269,60.650919370546035,1963.0,41.0,23.0,30.0,23.0,3376.0,0.65,21.54,2373.97,3
534,83.2171074380165,87,11,36,-53.54063947642882,-48.29251534929813,63.24689495353044,-87.86374550916128,13431.0,56.0,15.0,23.0,23.0,3371.0,0.78,35.59,2387.6,5
535,95.62915887850467,13,16,83,-82.5993602435521,175.66346871141644,-77.10527729291653,94.68842319072581,1533.0,50.0,22.0,27.0,16.0,3369.0,3.56,9.26,2364.61,4
536,83.51462809917352,16,12,30,16.273678086973803,166.85616753569002,63.24689495353044,-87.86374550916128,9136.0,56.0,15.0,23.0,23.0,3371.0,0.65,8.84,2372.57,5
537,96.4048598130841,29,16,13,-61.03182801150487,-166.1061511960417,-77.10527729291653,94.68842319072581,3705.0,50.0,22.0,27.0,16.0,3369.0,0.56,15.34,2368.31,4
538,83.76256198347104,65,19,90,58.90126982665046,-51.200857332042716,63.24689495353044,-87.86374550916128,2000.0,56.0,15.0,23.0,23.0,3371.0,1.96,29.07,2373.92,5
539,66.0417079147268,26,19,95,82.10552338719341,-90.15528383112726,69.11788034887269,60.650919370546035,3116.0,41.0,23.0,30.0,23.0,3376.0,2.13,17.66,2374.02,3
540,84.5063636363636,81,15,52,16.386323312331527,-117.47238540783809,63.24689495353044,-87.86374550916128,5686.0,56.0,15.0,23.0,23.0,3371.0,1.13,34.23,2379.42,5
541,84.9361157024793,49,14,24,1.0037294815857791,-100.99698085613528,63.24689495353044,-87.86374550916128,7005.0,56.0,15.0,23.0,23.0,3371.0,0.52,21.84,2375.6,5
542,66.65859103160992,50,15,44,-11.675990084561718,-44.9429576872968,69.11788034887269,60.650919370546035,11835.0,41.0,23.0,30.0,23.0,3376.0,0.99,27.5,2386.33,3
543,85.13446280991731,62,13,86,62.06793725597018,-102.42445105094924,63.24689495353044,-87.86374550916128,753.0,56.0,15.0,23.0,23.0,3371.0,1.87,26.55,2371.63,5
544,96.52635514018691,36,18,94,-49.17185928655943,143.6867687658147,-77.10527729291653,94.68842319072581,3731.0,50.0,22.0,27.0,16.0,3369.0,4.03,18.54,2370.66,4
545,66.94430531732421,74,16,84,-27.025403795992254,-28.513970308957937,69.11788034887269,60.650919370546035,12768.0,41.0,23.0,30.0,23.0,3376.0,1.88,38.84,2392.07,3
546,67.48975986277875,54,19,72,47.11072470007201,162.28555769722442,69.11788034887269,60.650919370546035,5619.0,41.0,23.0,30.0,23.0,3376.0,1.61,30.54,2381.52,3
547,97.4048598130841,68,12,14,-18.042677639390348,164.8440849531641,-77.10527729291653,94.68842319072581,7565.0,50.0,22.0,27.0,16.0,3369.0,0.6,29.08,2377.68,4
548,85.8452066115702,74,19,56,3.531080876389481,20.47813742784453,63.24689495353044,-87.86374550916128,10558.0,56.0,15.0,23.0,23.0,3371.0,1.22,32.49,2383.62,5
549,67.95729233031122,62,10,74,56.55002005714752,100.98789028891338,69.11788034887269,60.650919370546035,2409.0,41.0,23.0,30.0,23.0,3376.0,1.66,31.52,2378.72,3
550,86.30801652892558,75,13,79,54.68026942392672,51.86901696547886,63.24689495353044,-87.86374550916128,6448.0,56.0,15.0,23.0,23.0,3371.0,1.72,31.49,2379.26,5
551,97.53570093457942,49,18,40,6.914637455992818,88.3693238803686,-77.10527729291653,94.68842319072581,9351.0,50.0,22.0,27.0,16.0,3369.0,1.71,23.48,2377.56,4
552,97.90953271028036,87,19,18,-9.18621206333907,171.99613900849346,-77.10527729291653,94.68842319072581,8698.0,50.0,22.0,27.0,16.0,3369.0,0.77,38.19,2382.51,4
553,98.07775700934577,67,19,86,-36.76736716429489,82.89309963436517,-77.10527729291653,94.68842319072581,4522.0,50.0,22.0,27.0,16.0,3369.0,3.69,30.59,2376.17,4
554,98.88149532710278,67,13,53,-26.49808653763303,-167.59823898692207,-77.10527729291653,94.68842319072581,7329.0,50.0,22.0,27.0,16.0,3369.0,2.27,28.97,2377.9,4
555,99.37682242990653,35,20,86,-40.292901519049266,-139.69993078043422,-77.10527729291653,94.68842319072581,6439.0,50.0,22.0,27.0,16.0,3369.0,3.69,18.7,2373.33,4
556,100.18056074766353,54,11,50,-84.19020595850516,-27.385301634424025,-77.10527729291653,94.68842319072581,1857.0,50.0,22.0,27.0,16.0,3369.0,2.14,23.49,2370.2,4
557,86.96090909090906,23,16,71,56.91254841240399,-98.49774568624302,63.24689495353044,-87.86374550916128,916.0,56.0,15.0,23.0,23.0,3371.0,1.54,12.42,2366.05,5
558,68.4378118108307,69,20,88,67.70466064964646,41.258827531322225,69.11788034887269,60.650919370546035,805.0,41.0,23.0,30.0,23.0,3376.0,1.97,37.74,2379.69,3
559,87.54768595041318,54,15,12,31.295292396970353,162.08851155194697,63.24689495353044,-87.86374550916128,7851.0,56.0,15.0,23.0,23.0,3371.0,0.26,23.97,2377.22,5
560,87.65768595041318,96,17,64,-15.204761971545324,-70.97746404152188,63.24689495353044,-87.86374550916128,8845.0,56.0,15.0,23.0,23.0,3371.0,1.39,40.39,2385.12,5
561,88.18661157024789,67,13,51,1.9261612968668942,-52.50563652530846,63.24689495353044,-87.86374550916128,7407.0,56.0,15.0,23.0,23.0,3371.0,1.11,28.45,2378.82,5
562,69.00924038225926,40,11,91,16.59068039394664,-139.2746993908959,69.11788034887269,60.650919370546035,10354.0,41.0,23.0,30.0,23.0,3376.0,2.04,21.7,2382.85,3
563,69.60014947316836,10,15,39,56.1784584502272,-162.645523143241,69.11788034887269,60.650919370546035,5650.0,41.0,23.0,30.0,23.0,3376.0,0.87,9.1,2372.75,3
564,88.60809917355368,60,17,41,62.366239718094505,-136.61868137490353,63.24689495353044,-87.86374550916128,2419.0,56.0,15.0,23.0,23.0,3371.0,0.89,26.71,2373.07,5
565,100.6478504672897,67,12,83,-4.605773831586475,123.13668110889245,-77.10527729291653,94.68842319072581,8240.0,50.0,22.0,27.0,16.0,3369.0,3.56,28.7,2379.09,4
566,88.9469421487603,43,11,94,-0.4694359428363981,-35.539099751921526,63.24689495353044,-87.86374550916128,8280.0,56.0,15.0,23.0,23.0,3371.0,2.04,18.87,2376.14,5
567,69.85339622641511,42,16,67,5.816651814680569,-87.84807661215284,69.11788034887269,60.650919370546035,11340.0,41.0,23.0,30.0,23.0,3376.0,1.5,24.12,2384.64,3
568,70.28846116148004,94,10,88,68.90843674641474,-171.64305618070804,69.11788034887269,60.650919370546035,4170.0,41.0,23.0,30.0,23.0,3376.0,1.97,46.24,2386.46,3
569,70.85988973290861,81,14,55,50.68118225475061,29.013063915650605,69.11788034887269,60.650919370546035,2644.0,41.0,23.0,30.0,23.0,3376.0,1.23,41.46,2382.8,3
570,101.42355140186913,61,13,31,-86.85356307745676,60.79309578173945,-77.10527729291653,94.68842319072581,1159.0,50.0,22.0,27.0,16.0,3369.0,1.33,26.69,2370.53,4
571,101.71327102803735,46,19,64,-50.20003103878799,-151.50293679522898,-77.10527729291653,94.68842319072581,5145.0,50.0,22.0,27.0,16.0,3369.0,2.74,22.61,2373.31,4
572,89.72380165289253,55,10,58,42.05050955438145,99.23875039041798,63.24689495353044,-87.86374550916128,8289.0,56.0,15.0,23.0,23.0,3371.0,1.26,23.2,2377.65,5
573,102.31140186915884,71,17,31,-8.031340553868901,-1.9679553018344507,-77.10527729291653,94.68842319072581,9301.0,50.0,22.0,27.0,16.0,3369.0,1.33,31.57,2380.63,4
574,102.60112149532706,86,20,30,-49.96013449122684,-38.55281802089675,-77.10527729291653,94.68842319072581,5516.0,50.0,22.0,27.0,16.0,3369.0,1.29,38.08,2379.44,4
575,71.21703259005147,42,12,40,69.98979920331988,83.87461259719322,69.11788034887269,60.650919370546035,901.0,41.0,23.0,30.0,23.0,3376.0,0.9,22.92,2373.54,3
576,90.20314049586774,78,16,85,-10.436151622005696,-21.47339911999913,63.24689495353044,-87.86374550916128,9908.0,56.0,15.0,23.0,23.0,3371.0,1.85,33.32,2383.49,5
577,90.90561983471072,90,12,24,55.30925218872713,-113.27273097430607,63.24689495353044,-87.86374550916128,1675.0,56.0,15.0,23.0,23.0,3371.0,0.52,36.96,2376.32,5
578,71.47677284979173,50,19,18,62.55103013576266,99.18962543634444,69.11788034887269,60.650919370546035,1860.0,41.0,23.0,30.0,23.0,3376.0,0.4,28.7,2376.66,3
579,102.88149532710277,31,19,77,-63.90042369628543,4.150701009293357,-77.10527729291653,94.68842319072581,3226.0,50.0,22.0,27.0,16.0,3369.0,3.3,16.91,2369.28,4
580,91.10396694214873,33,12,87,-17.38622641951956,-89.94545311681243,63.24689495353044,-87.86374550916128,8967.0,56.0,15.0,23.0,23.0,3371.0,1.89,15.3,2375.35,5
581,103.60112149532706,75,15,75,-38.327263078884265,165.3217053556848,-77.10527729291653,94.68842319072581,5393.0,50.0,22.0,27.0,16.0,3369.0,3.21,32.55,2377.68,4
582,71.59365596667485,78,13,24,20.664922469966314,-63.26292322160202,69.11788034887269,60.650919370546035,9089.0,41.0,23.0,30.0,23.0,3376.0,0.54,39.78,2388.36,3
583,104.30205607476631,69,11,75,-44.84491795178572,-161.37972266984016,-77.10527729291653,94.68842319072581,5505.0,50.0,22.0,27.0,16.0,3369.0,3.21,29.19,2376.44,4
584,71.749500122519,60,11,58,-5.422564094419471,-156.4142761633072,69.11788034887269,60.650919370546035,12432.0,41.0,23.0,30.0,23.0,3376.0,1.3,30.9,2388.38,3
585,72.12612349914237,34,14,96,40.38442444674041,-36.72109055987295,69.11788034887269,60.650919370546035,6139.0,41.0,23.0,30.0,23.0,3376.0,2.15,19.84,2377.92,3
586,91.82297520661155,84,14,11,49.41608579333038,70.48777813088827,63.24689495353044,-87.86374550916128,7344.0,56.0,15.0,23.0,23.0,3371.0,0.24,35.14,2381.17,5
587,72.749500122519,46,19,72,-5.915259572125777,53.04408371301213,69.11788034887269,60.650919370546035,8363.0,41.0,23.0,30.0,23.0,3376.0,1.61,26.86,2382.79,3
588,91.93297520661154,23,13,46,60.6891980217884,149.640671376741,63.24689495353044,-87.86374550916128,5413.0,56.0,15.0,23.0,23.0,3371.0,1.0,11.73,2370.11,5
589,105.00299065420556,10,14,38,-29.10119794521674,43.17159510841503,-77.10527729291653,94.68842319072581,5944.0,50.0,22.0,27.0,16.0,3369.0,1.63,7.58,2367.77,4
590,92.31314049586774,26,13,69,40.31611274834151,-149.39406879174146,63.24689495353044,-87.86374550916128,4687.0,56.0,15.0,23.0,23.0,3371.0,1.5,12.87,2369.99,5
591,73.21703259005146,68,12,83,78.61359243501548,67.8163984850035,69.11788034887269,60.650919370546035,1076.0,41.0,23.0,30.0,23.0,3376.0,1.86,34.88,2378.79,3
592,105.35813084112145,23,16,27,-79.97411270192903,-11.022292200961175,-77.10527729291653,94.68842319072581,2035.0,50.0,22.0,27.0,16.0,3369.0,1.16,13.06,2365.91,4
593,92.88338842975205,96,17,25,86.9884267465535,-164.83698682109022,63.24689495353044,-87.86374550916128,2916.0,56.0,15.0,23.0,23.0,3371.0,0.54,40.39,2378.93,5
594,105.61046728971958,15,14,92,-20.044422809587758,-149.4540110826479,-77.10527729291653,94.68842319072581,8445.0,50.0,22.0,27.0,16.0,3369.0,3.94,9.48,2371.72,4
595,93.08999999999997,30,16,58,-22.29169129479162,-160.04782573756046,63.24689495353044,-87.86374550916128,11363.0,56.0,15.0,23.0,23.0,3371.0,1.26,15.08,2377.47,5
596,93.56933884297518,58,20,71,-2.6084063164614975,-23.891899832653337,63.24689495353044,-87.86374550916128,9005.0,56.0,15.0,23.0,23.0,3371.0,1.54,26.64,2379.82,5
597,1.0556603773584905,67,12,14,12.769261705493932,136.2829384130319,69.11788034887269,60.650919370546035,8114.0,41.0,23.0,30.0,23.0,3376.0,0.44,34.42,2385.21,3
598,94.15611570247931,72,18,51,55.74286809373217,-129.5904348708653,63.24689495353044,-87.86374550916128,2446.0,56.0,15.0,23.0,23.0,3371.0,1.11,31.5,2375.08,5
599,106.47028037383173,99,17,67,-86.98473626752605,17.34182375308123,-77.10527729291653,94.68842319072581,1398.0,50.0,22.0,27.0,16.0,3369.0,2.87,42.21,2377.44,4
600,73.7559936290125,47,13,78,20.1523304472382,-124.50748952058504,69.11788034887269,60.650919370546035,10080.0,41.0,23.0,30.0,23.0,3376.0,1.75,25.52,2384.01,3
601,74.262487135506,78,19,70,49.228995089766755,13.460539225256412,69.11788034887269,60.650919370546035,3339.0,41.0,23.0,30.0,23.0,3376.0,1.57,41.58,2383.64,3
602,94.5776033057851,92,12,92,45.48893140224348,-82.37857693482786,63.24689495353044,-87.86374550916128,2004.0,56.0,15.0,23.0,23.0,3371.0,2.0,37.72,2377.39,5
603,107.09644859813079,64,18,60,-7.250475937367526,-109.33275795440547,-77.10527729291653,94.68842319072581,10512.0,50.0,22.0,27.0,16.0,3369.0,2.57,29.18,2381.26,4
604,107.65719626168219,72,11,32,-82.80775688548893,-110.36418838593704,-77.10527729291653,94.68842319072581,2184.0,50.0,22.0,27.0,16.0,3369.0,1.37,30.33,2373.03,4
605,107.95626168224294,96,19,62,-43.63336969991626,96.76263171050635,-77.10527729291653,94.68842319072581,3723.0,50.0,22.0,27.0,16.0,3369.0,2.66,41.61,2379.47,4
606,108.53570093457938,77,11,98,-55.80854266974426,-56.58746372676488,-77.10527729291653,94.68842319072581,5100.0,50.0,22.0,27.0,16.0,3369.0,4.2,32.23,2377.55,4
607,74.71703259005146,15,15,21,84.6048668724919,-42.910718854035196,69.11788034887269,60.650919370546035,2527.0,41.0,23.0,30.0,23.0,3376.0,0.47,11.4,2370.43,3
608,74.8533962264151,26,15,16,78.75133265398003,-153.4094833931755,69.11788034887269,60.650919370546035,3427.0,41.0,23.0,30.0,23.0,3376.0,0.36,16.46,2373.32,3
609,109.45158878504667,93,12,32,-87.95889232568457,-145.33130430044062,-77.10527729291653,94.68842319072581,1559.0,50.0,22.0,27.0,16.0,3369.0,1.37,38.58,2375.7,4
610,95.3379338842975,50,10,79,52.39936081808469,-91.73231781144787,63.24689495353044,-87.86374550916128,1227.0,56.0,15.0,23.0,23.0,3371.0,1.72,21.3,2369.96,5
611,74.9633962264151,65,17,28,27.26287177609295,-178.9332094931892,69.11788034887269,60.650919370546035,8281.0,41.0,23.0,30.0,23.0,3376.0,0.63,35.0,2385.67,3
612,109.75065420560742,75,16,29,-85.36626174710563,173.05923942741924,-77.10527729291653,94.68842319072581,1420.0,50.0,22.0,27.0,16.0,3369.0,1.24,32.82,2373.22,4
613,75.14521440823329,17,10,38,81.75171904793322,142.7994266968073,69.11788034887269,60.650919370546035,2369.0,41.0,23.0,30.0,23.0,3376.0,0.85,10.82,2370.15,3
614,75.39196765498653,75,11,94,-21.241979160899163,135.99527969467522,69.11788034887269,60.650919370546035,11646.0,41.0,23.0,30.0,23.0,3376.0,2.1,37.8,2390.6,3
615,95.99082644628098,71,11,33,-3.441713130392145,2.647455032081325,63.24689495353044,-87.86374550916128,10374.0,56.0,15.0,23.0,23.0,3371.0,0.72,29.51,2382.09,5
616,96.26355371900824,47,16,77,5.783954026231157,-167.8307618903045,63.24689495353044,-87.86374550916128,8932.0,56.0,15.0,23.0,23.0,3371.0,1.67,21.54,2377.75,5
617,96.89991735537188,72,20,93,50.50525027269674,-155.1734417688525,63.24689495353044,-87.86374550916128,4104.0,56.0,15.0,23.0,23.0,3371.0,2.02,31.96,2377.19,5
618,76.00235726537613,55,13,31,29.417361565871957,-30.392527239341376,69.11788034887269,60.650919370546035,7010.0,41.0,23.0,30.0,23.0,3376.0,0.69,29.2,2382.1,3
619,76.20365596667483,43,16,90,27.37903722103782,75.5644050921411,69.11788034887269,60.650919370546035,4742.0,41.0,23.0,30.0,23.0,3376.0,2.01,24.58,2378.38,3
620,97.6685123966942,64,16,17,27.2008198018207,-65.13513926037213,63.24689495353044,-87.86374550916128,4333.0,56.0,15.0,23.0,23.0,3371.0,0.37,28.0,2375.34,5
621,110.0216822429906,78,12,29,28.305693075551204,132.04363619587485,-77.10527729291653,94.68842319072581,11989.0,50.0,22.0,27.0,16.0,3369.0,1.24,32.88,2383.81,4
622,76.78807155109041,10,20,22,68.57884148226643,45.79500792260987,69.11788034887269,60.650919370546035,597.0,41.0,23.0,30.0,23.0,3376.0,0.49,10.6,2368.18,3
623,97.80900826446279,43,14,42,80.14485883917047,-157.45175793111864,63.24689495353044,-87.86374550916128,2774.0,56.0,15.0,23.0,23.0,3371.0,0.91,19.56,2370.57,5
624,110.29271028037377,32,19,74,-84.22237722776507,133.96105573281812,-77.10527729291653,94.68842319072581,1019.0,50.0,22.0,27.0,16.0,3369.0,3.17,17.29,2367.19,4
625,98.15611570247931,76,10,45,6.179630219190244,-92.05449003954769,63.24689495353044,-87.86374550916128,6354.0,56.0,15.0,23.0,23.0,3371.0,0.98,31.18,2378.82,5
626,110.9842990654205,32,18,87,-70.72019455182505,-125.94449137711862,-77.10527729291653,94.68842319072581,3359.0,50.0,22.0,27.0,16.0,3369.0,3.73,17.02,2369.59,4
627,76.93092869394755,31,16,36,76.09181165426148,-41.59571957016453,69.11788034887269,60.650919370546035,3033.0,41.0,23.0,30.0,23.0,3376.0,0.81,19.06,2374.1,3
628,77.16469492771378,73,19,64,1.9263499524182919,164.75177838880057,69.11788034887269,60.650919370546035,10360.0,41.0,23.0,30.0,23.0,3376.0,1.43,39.28,2389.7,3
629,98.52801652892559,61,18,60,18.44063234181847,165.51016597785957,63.24689495353044,-87.86374550916128,8982.0,56.0,15.0,23.0,23.0,3371.0,1.3,27.32,2380.0,5
630,111.79738317757004,18,12,35,-24.627694258866924,-57.49988244924786,-77.10527729291653,94.68842319072581,8550.0,50.0,22.0,27.0,16.0,3369.0,1.5,10.08,2371.33,4
631,112.12448598130835,42,14,68,-39.984159726180316,50.312150419816675,-77.10527729291653,94.68842319072581,4618.0,50.0,22.0,27.0,16.0,3369.0,2.91,19.74,2371.69,4
632,77.5802793432982,54,16,71,37.083582363033216,-39.99024644904517,69.11788034887269,60.650919370546035,6591.0,41.0,23.0,30.0,23.0,3376.0,1.59,29.64,2382.12,3
633,78.04131830433717,27,16,57,65.38162013093554,7.021481341059712,69.11788034887269,60.650919370546035,2265.0,41.0,23.0,30.0,23.0,3376.0,1.28,17.22,2372.74,3
634,112.75999999999995,100,11,11,-48.067327646149,-125.87785936300938,-77.10527729291653,94.68842319072581,5812.0,50.0,22.0,27.0,16.0,3369.0,0.47,40.97,2380.64,4
635,99.02388429752064,70,19,32,19.150942067166014,-74.42761346670069,63.24689495353044,-87.86374550916128,5008.0,56.0,15.0,23.0,23.0,3371.0,0.7,30.97,2377.31,5
636,78.41144817446704,45,18,33,50.004011767924396,100.9762279226469,69.11788034887269,60.650919370546035,3010.0,41.0,23.0,30.0,23.0,3376.0,0.74,26.1,2376.87,3
637,112.86999999999995,39,17,85,-25.17867198811075,-38.00878646850279,-77.10527729291653,94.68842319072581,8214.0,50.0,22.0,27.0,16.0,3369.0,3.64,19.41,2375.37,4
638,113.66439252336443,60,11,56,-41.564663235841756,177.87873541820238,-77.10527729291653,94.68842319072581,5359.0,50.0,22.0,27.0,16.0,3369.0,2.4,25.77,2374.69,4
639,99.288347107438,100,12,82,-54.2918443161889,-33.27215069938552,63.24689495353044,-87.86374550916128,13893.0,56.0,15.0,23.0,23.0,3371.0,1.78,40.76,2390.43,5
640,78.62573388875275,54,14,62,-3.9734058292407752,133.4676828499181,69.11788034887269,60.650919370546035,9750.0,41.0,23.0,30.0,23.0,3376.0,1.39,29.04,2384.98,3
641,99.96603305785122,57,11,95,86.67621567164917,-5.014319981284331,63.24689495353044,-87.86374550916128,2949.0,56.0,15.0,23.0,23.0,3371.0,2.07,24.19,2372.95,5
642,100.75115702479337,47,20,70,5.244966595329032,-151.967161777851,63.24689495353044,-87.86374550916128,8216.0,56.0,15.0,23.0,23.0,3371.0,1.52,22.46,2377.36,5
643,79.02833129135016,23,14,20,14.208975337892838,92.43967741418771,69.11788034887269,60.650919370546035,6500.0,41.0,23.0,30.0,23.0,3376.0,0.45,14.78,2375.75,3
644,79.15820142122028,21,14,17,76.47074109754726,71.1729301153359,69.11788034887269,60.650919370546035,884.0,41.0,23.0,30.0,23.0,3376.0,0.38,13.86,2369.74,3
645,79.26859103160989,82,19,45,46.47072881077682,52.13357634847907,69.11788034887269,60.650919370546035,2562.0,41.0,23.0,30.0,23.0,3376.0,1.01,43.42,2383.43,3
646,101.32966942148758,22,18,32,23.25979637932967,-88.11910739925176,63.24689495353044,-87.86374550916128,4446.0,56.0,15.0,23.0,23.0,3371.0,0.7,12.5,2369.36,5
647,79.56079882381768,49,13,56,81.57314090954355,-119.89797836811806,69.11788034887269,60.650919370546035,3258.0,41.0,23.0,30.0,23.0,3376.0,1.25,26.44,2377.41,3
648,114.18775700934573,64,19,22,-41.72746120283868,-141.28997249822658,-77.10527729291653,94.68842319072581,6254.0,50.0,22.0,27.0,16.0,3369.0,0.94,29.45,2376.62,4
649,114.39336448598125,53,15,100,13.425901721581738,147.61257946761373,-77.10527729291653,94.68842319072581,10616.0,50.0,22.0,27.0,16.0,3369.0,4.29,24.19,2379.88,4
650,115.32794392523358,44,12,22,-70.57092002911034,-170.86762380550297,-77.10527729291653,94.68842319072581,2669.0,50.0,22.0,27.0,16.0,3369.0,0.94,19.96,2369.24,4
651,101.59413223140494,22,11,67,23.79780960319323,-134.22134295088063,63.24689495353044,-87.86374550916128,5544.0,56.0,15.0,23.0,23.0,3371.0,1.46,10.89,2370.04,5
652,115.5335514018691,60,14,21,-74.04690149222587,68.05893199753524,-77.10527729291653,94.68842319072581,802.0,50.0,22.0,27.0,16.0,3369.0,0.9,26.58,2370.0,4
653,79.92443518745404,51,13,86,79.84736686743375,-66.0529466070369,69.11788034887269,60.650919370546035,3124.0,41.0,23.0,30.0,23.0,3376.0,1.93,27.36,2377.85,3
654,102.14785123966941,68,12,75,2.141443316427811,-167.83472376445582,63.24689495353044,-87.86374550916128,9294.0,56.0,15.0,23.0,23.0,3371.0,1.63,28.6,2380.92,5
655,80.4828767458956,94,11,59,89.02030119849013,44.75092078707647,69.11788034887269,60.650919370546035,2217.0,41.0,23.0,30.0,23.0,3376.0,1.32,46.54,2384.43,3
656,115.7298130841121,91,17,18,-55.90254863569531,148.72573982449592,-77.10527729291653,94.68842319072581,3144.0,50.0,22.0,27.0,16.0,3369.0,0.77,39.17,2377.34,4
657,115.89803738317751,49,13,19,-13.016742648954192,90.71815949367658,-77.10527729291653,94.68842319072581,7130.0,50.0,22.0,27.0,16.0,3369.0,0.81,22.13,2374.53,4
658,116.07560747663545,48,17,21,-30.745898590722447,-7.376776158879522,-77.10527729291653,94.68842319072581,6974.0,50.0,22.0,27.0,16.0,3369.0,0.9,22.83,2374.68,4
659,116.27186915887845,77,11,45,-77.41189519050388,34.83174813129139,-77.10527729291653,94.68842319072581,1405.0,50.0,22.0,27.0,16.0,3369.0,1.93,32.23,2373.18,4
660,80.86599362901248,100,19,53,60.6808216447445,97.98477708221122,69.11788034887269,60.650919370546035,1952.0,41.0,23.0,30.0,23.0,3376.0,1.19,51.7,2386.19,3
661,116.692429906542,33,17,40,-82.98355303099311,67.45088722079123,-77.10527729291653,94.68842319072581,820.0,50.0,22.0,27.0,16.0,3369.0,1.71,17.13,2366.49,4
662,102.76768595041321,19,15,78,48.23964734796459,-23.873351587784555,63.24689495353044,-87.86374550916128,4125.0,56.0,15.0,23.0,23.0,3371.0,1.7,10.67,2368.6,5
663,81.21014947316833,74,16,36,87.56351008802105,68.65976027237079,69.11788034887269,60.650919370546035,2054.0,41.0,23.0,30.0,23.0,3376.0,0.81,38.84,2381.03,3
664,117.06626168224294,82,20,62,-23.900172487515746,-97.18543847516189,-77.10527729291653,94.68842319072581,8755.0,50.0,22.0,27.0,16.0,3369.0,2.66,36.56,2382.48,4
665,103.41231404958677,78,10,72,-19.045620951718746,-112.85788031375108,63.24689495353044,-87.86374550916128,9406.0,56.0,15.0,23.0,23.0,3371.0,1.57,31.94,2382.35,5
666,81.44391570693456,10,10,83,83.60428424870355,-49.58326960228453,69.11788034887269,60.650919370546035,2649.0,41.0,23.0,30.0,23.0,3376.0,1.86,7.6,2369.45,3
667,1.1877358490566037,84,11,17,68.98288368406071,137.531972245078,69.11788034887269,60.650919370546035,2856.0,41.0,23.0,30.0,23.0,3376.0,0.53,41.94,2382.99,3
668,104.00735537190081,41,15,93,76.17342745535183,-112.06831467402912,63.24689495353044,-87.86374550916128,1685.0,56.0,15.0,23.0,23.0,3371.0,2.02,19.03,2369.6,5
669,81.9828767458956,73,16,22,35.92132544994763,140.12311972216088,69.11788034887269,60.650919370546035,5900.0,41.0,23.0,30.0,23.0,3376.0,0.49,38.38,2384.6,3
670,117.64570093457938,45,18,77,-70.57834468306305,-13.289795945598797,-77.10527729291653,94.68842319072581,2925.0,50.0,22.0,27.0,16.0,3369.0,3.3,21.96,2371.0,4
671,118.36532710280368,95,20,55,-2.8680953969098937,-68.54693461568726,-77.10527729291653,94.68842319072581,11061.0,50.0,22.0,27.0,16.0,3369.0,2.36,41.5,2386.67,4
