TaskID,StartTime,TaskFileSize,TaskOutputFileSize,TaskFileLength,UserLatitude,UserLongitude,DataCenterLatitude,DataCenterLongitude,DistanceFromDataCenter,DataCenterCpuCost,DataCenterRamCost,DataCenterStorageCost,DataCenterBwCost,DataCenterTotalLoad,NetworkDelay,CET,ObjectiveFunction,DataCenterID
121,14.167422200441068,42,15,66,-0.38859316688781576,44.871208248459595,69.11788034887269,60.650919370546035,7819.0,41.0,23.0,30.0,23.0,3376.0,1.48,23.82,2380.99,3
122,20.6377570093458,22,18,63,-6.948412053934263,106.91710488619492,-77.10527729291653,94.68842319072581,7835.0,50.0,22.0,27.0,16.0,3369.0,2.7,13.22,2372.23,4
123,18.149586776859504,20,15,26,70.37088104840754,-155.5983436919033,63.24689495353044,-87.86374550916128,2897.0,56.0,15.0,23.0,23.0,3371.0,0.57,11.05,2367.19,5
124,21.226542056074774,24,18,15,-30.259013983265078,103.60081782487663,-77.10527729291653,94.68842319072581,5229.0,50.0,22.0,27.0,16.0,3369.0,0.64,13.98,2369.31,4
125,21.366728971962623,41,17,90,-78.31185339543867,131.74251253087124,-77.10527729291653,94.68842319072581,871.0,50.0,22.0,27.0,16.0,3369.0,3.86,20.17,2368.4,4
126,18.364462809917356,87,17,88,39.71343764909159,-156.01166715462438,63.24689495353044,-87.86374550916128,5072.0,56.0,15.0,23.0,23.0,3371.0,1.91,36.97,2380.13,5
127,14.595993629012497,47,13,89,0.8476882177665885,91.74591057661667,69.11788034887269,60.650919370546035,7938.0,41.0,23.0,30.0,23.0,3376.0,1.99,25.52,2381.94,3
128,15.173915706934576,77,16,43,64.5612935875186,-0.23009813166788717,69.11788034887269,60.650919370546035,2594.0,41.0,23.0,30.0,23.0,3376.0,0.96,40.22,2382.17,3
129,22.207850467289724,35,18,45,-53.50615130223647,-11.281770302001974,-77.10527729291653,94.68842319072581,4632.0,50.0,22.0,27.0,16.0,3369.0,1.93,18.16,2370.78,4
130,19.091735537190083,38,18,34,-2.3296339804782207,-22.03145365981601,63.24689495353044,-87.86374550916128,9062.0,56.0,15.0,23.0,23.0,3371.0,0.74,18.58,2376.42,5
131,22.628411214953275,89,19,29,-84.1087255149819,92.00828938562796,-77.10527729291653,94.68842319072581,780.0,50.0,22.0,27.0,16.0,3369.0,1.24,38.95,2375.03,4
132,22.899439252336453,64,20,79,-69.13747911407772,51.12650037452198,-77.10527729291653,94.68842319072581,1604.0,50.0,22.0,27.0,16.0,3369.0,3.39,29.72,2372.81,4
133,15.453136486155355,75,12,48,-25.263109354366833,69.60420699889465,69.11788034887269,60.650919370546035,10519.0,41.0,23.0,30.0,23.0,3376.0,1.07,38.1,2389.28,3
134,15.764824797843666,95,11,98,31.475836600057633,61.787846419373466,69.11788034887269,60.650919370546035,4186.0,41.0,23.0,30.0,23.0,3376.0,2.19,47.0,2386.84,3
135,19.37272727272727,18,16,53,48.65428121771512,-113.69223210757953,63.24689495353044,-87.86374550916128,2254.0,56.0,15.0,23.0,23.0,3371.0,1.15,10.52,2366.51,5
136,19.81074380165289,86,13,34,11.636612218318817,80.5767482852574,63.24689495353044,-87.86374550916128,11629.0,56.0,15.0,23.0,23.0,3371.0,0.74,35.67,2385.82,5
137,23.637757009345798,40,20,78,-82.56763574532948,85.57695485768977,-77.10527729291653,94.68842319072581,631.0,50.0,22.0,27.0,16.0,3369.0,3.34,20.6,2368.17,4
138,24.36672897196262,58,19,63,-60.898171784729456,38.029161304216984,-77.10527729291653,94.68842319072581,2702.0,50.0,22.0,27.0,16.0,3369.0,2.7,27.17,2372.68,4
139,20.09173553719008,28,17,80,48.681481958735105,178.8433331544814,63.24689495353044,-87.86374550916128,5469.0,56.0,15.0,23.0,23.0,3371.0,1.74,14.55,2371.51,5
140,20.75289256198347,64,17,64,15.940129341833838,-129.48078841162425,63.24689495353044,-87.86374550916128,6152.0,56.0,15.0,23.0,23.0,3371.0,1.39,28.23,2377.56,5
141,24.95551401869159,98,13,81,-68.77563606330312,19.643543016748907,-77.10527729291653,94.68842319072581,2406.0,50.0,22.0,27.0,16.0,3369.0,3.47,40.75,2378.05,4
142,16.401188434207302,47,15,57,-59.41441709810062,-89.36060482662914,69.11788034887269,60.650919370546035,18239.0,41.0,23.0,30.0,23.0,3376.0,1.28,26.12,2392.27,3
143,16.77131830433717,90,12,62,68.66851006282516,-47.6063262273949,69.11788034887269,60.650919370546035,3773.0,41.0,23.0,30.0,23.0,3376.0,1.39,45.0,2385.39,3
